                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.0000000000                         3.0559671805
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.1000000000                         2.9280226069
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.2000000000                         2.5543923404
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.3000000000                         1.9643776730
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.4000000000                         1.2025399405
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.5000000000                         0.3232666953
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.6000000000                        -0.6153219583
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.7000000000                        -1.5570641295
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.8000000000                        -2.4524909224
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.9000000000                        -3.2618642228
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        1.0000000000                        -3.9565058426
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.1000000000                        -0.0038908636
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.2000000000                        -0.0143699666
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.3000000000                        -0.0280648469
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.4000000000                        -0.0400141123
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.5000000000                        -0.0445045719
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.6000000000                        -0.0359704684
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.7000000000                        -0.0098074922
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.8000000000                         0.0370303165
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.9000000000                         0.1057089063
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        1.0000000000                         0.1954545494
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.1000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.2000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.3000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.4000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.5000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.6000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.7000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.8000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.9000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        1.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.1000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.2000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.3000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.4000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.5000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.6000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.7000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.8000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.9000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        1.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.1000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.2000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.3000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.4000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.5000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.6000000000                         0.0000000000
