                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.0000000000                         2.0525854141
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.1000000000                         1.9268012196
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.2000000000                         1.5598478024
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.3000000000                         0.9815496356
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.4000000000                         0.2371673540
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.5000000000                        -0.6182359834
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.6000000000                        -1.5260957220
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.7000000000                        -2.4301842062
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.8000000000                        -3.2814431393
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.9000000000                        -4.0410037451
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        1.0000000000                        -4.6814008700
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.1000000000                        -0.0045834911
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.2000000000                        -0.0170549880
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.3000000000                        -0.0337999866
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.4000000000                        -0.0494997661
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.5000000000                        -0.0580262376
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.6000000000                        -0.0534026715
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.7000000000                        -0.0306718002
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.8000000000                         0.0134705449
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.9000000000                         0.0803350053
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        1.0000000000                         0.1691801376
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.1000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.2000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.3000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.4000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.5000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.6000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.7000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.8000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.9000000000                         0.0000000000
